article_set_key,article_family_key,article_count,case_count,country_count,countries,mean_log_fine,std_log_fine,median_fine_eur,cross_border_eligible
12;15;21;25;32,12-14;15;21;25;32,5,1,1,FR,12.81045172363652,0.0,366022.0994475138,False
12;15;18;25,12-14;15;18;25,4,1,1,HU,11.18344274467003,0.0,71928.57142857142,False
12;15;58,12-14;15;58,3,1,1,FI,10.091213553928746,0.0,24129.05779889153,False
12;17;21,12-14;17;21,3,1,1,GR,8.632422361902975,0.0,5609.652836579171,False
12;17;31,12-14;17;31,3,1,1,BE,7.621979992100716,0.0,2041.6024653312784,False
12;17;21;25,12-14;17;21;25,4,1,1,GR,10.102439770754941,0.0,24401.47329650092,False
12;31,12-14;31,2,1,1,CY,8.027281896384167,0.0,3062.403697996918,False
13;14,12-14,2,1,1,GR,10.507891218952246,0.0,36602.20994475138,False
12;15;25,12-14;15;25,3,1,1,GR,12.301387370778713,0.0,220000.0,False
12;15;17;32;33,12-14;15;17;32;33,5,1,1,FR,12.726591646926067,0.0,336579.17019475024,False
5;17;25;32,17;25;32;5,4,1,1,FI,8.978594781651767,0.0,7930.4788213628,False
5;16;25;38,16;25;38;5,4,1,1,BE,11.424165558687063,0.0,91505.52486187844,False
5;15;58,15;5;58,3,1,1,GR,9.219918167628718,0.0,10095.238095238095,False
5;15;32;33,15;32;33;5,4,1,1,CY,9.848480604146314,0.0,18928.571428571428,False
5;14;24;28;37;38;157,12-14;157;24;28;37;38;5,7,1,1,IT,11.176852356699024,0.0,71456.08628659474,False
5;13;32,12-14;32;5,3,1,1,FR,12.661841661919434,0.0,315476.1904761905,False
5;13;25;32;35,12-14;25;32;35;5,5,1,1,FR,13.707419043023348,0.0,897544.4538526674,False
5;13;28;32,12-14;28;32;5,4,1,1,FR,11.533523102304947,0.0,102080.12326656393,False
5;13;14;25;28;32;35,12-14;25;28;32;35;5,7,1,1,GR,15.806181401722535,0.0,7320441.988950277,False
5;13;14;28;30;32;35,12-14;28;30;32;35;5,7,1,1,IT,11.745555684735885,0.0,126190.47619047618,False
5;13;21,12-14;21;5,3,1,1,GR,7.71639894286531,0.0,2243.8611346316684,False
5;13;17;28;32,12-14;17;28;32;5,5,1,1,FR,11.894165089855978,0.0,146408.83977900553,False
5;13;14,12-14;5,3,1,1,FR,14.574038052181825,0.0,2135128.913443831,False
5;12;32;35,12-14;32;35;5,4,1,1,IT,12.659463547061613,0.0,314726.8408551069,False
5;13;114,114;12-14;5,3,1,1,IT,8.537976937910123,0.0,5104.006163328197,False
5;13;114;157,114;12-14;157;5,4,1,1,IT,13.41973734195473,0.0,673158.3403895005,False
5;12;14;15;21,12-14;15;21;5,5,1,1,BE,9.007907107151713,0.0,8166.409861325114,False
5;12;16,12-14;16;5,3,1,1,IT,8.43263818714315,0.0,4593.605546995377,False
5;12;15;24,12-14;15;24;5,4,1,1,IT,13.930562371507593,0.0,1121930.567315834,False
5;12;31,12-14;31;5,3,1,1,HU,7.270362381141019,0.0,1436.0711261642678,False
5;12;17;88,12-14;17;5;88,4,1,1,IT,9.924124373624954,0.0,20416.024653312787,False
5;12;25;30;31;32;37,12-14;25;30;31;32;37;5,7,1,1,GR,10.840385717827472,0.0,51040.06163328196,False
5;12;17,12-14;17;5,3,1,1,IT,9.636458627284249,0.0,15312.01848998459,False
5;12;16;17,12-14;16;17;5,4,1,1,GR,8.943376748503317,0.0,7656.009244992295,False
5;12;13;24;25;28;37,12-14;24;25;28;37;5,7,1,1,IT,10.762361566987883,0.0,47209.02612826604,False
5;12;13;35,12-14;35;5,4,1,1,IT,8.720265846479563,0.0,6124.807395993836,False
5;12;13;24;130,12-14;130;24;5,5,1,1,IT,11.560857613070102,0.0,104908.9469517023,False
5;12;15,12-14;15;5,3,1,1,GR,9.18621050617067,0.0,9760.589318600369,False
5;12;13;15;24;25,12-14;15;24;25;5,6,1,1,BE,10.64458117907065,0.0,41963.57878068092,False
5;12;13;15;24;31,12-14;15;24;31;5,6,1,1,GR,9.210440366976517,0.0,10000.0,False
5;12;13;15;25,12-14;15;25;5,5,1,1,FI,8.716268340436823,0.0,6100.36832412523,False
5;12;13;15;32;34,12-14;15;32;34;5,6,1,1,FR,10.136149469661435,0.0,25238.09523809524,False
5;6;12;13;28;32;33;38,12-14;28;32;33;38;5;6,8,1,1,HR,12.202706984081697,0.0,199326.9992082344,False
5;6;12;13;24;25;33;83,12-14;24;25;33;5;6;83,8,1,1,IT,16.544148665530944,0.0,15312018.489984589,False
5;6;12;13;17,12-14;17;5;6,5,1,1,IT,8.56530643082572,0.0,5245.447347585115,False
5;6;12;13;16;17,12-14;16;17;5;6,6,1,1,HU,7.677334260126032,0.0,2157.8571428571427,False
5;6;12;13;15;16;17;24;25;31,12-14;15;16;17;24;25;31;5;6,10,1,1,IT,10.934847032889449,0.0,56096.52836579171,False
5;6;12;13;15;24;25;30;37;38;39,12-14;15;24;25;30;37;38;39;5;6,11,1,1,BE,7.546370844743536,0.0,1892.857142857143,False
5;6;12;14;30;38,12-14;30;38;5;6,6,1,1,HR,10.617247064518509,0.0,40832.04930662557,False
5;6;12;14;15,12-14;15;5;6,5,1,1,FR,12.408986125233092,0.0,244992.29583975344,False
5;6;12;15;24,12-14;15;24;5;6,5,1,1,BE,9.443041909388214,0.0,12619.047619047618,False
5;6;12;15;17;21;24,12-14;15;17;21;24;5;6,7,1,1,IT,7.02369712496935,0.0,1121.9305673158342,False
5;6;12;21,12-14;21;5;6,4,1,1,BE,9.325480422302588,0.0,11219.305673158342,False
5;6;12;17;25,12-14;17;25;5;6,5,1,1,HU,10.435322582460008,0.0,34040.05524861879,False
5;6;12;26;28;30;35,12-14;26;28;30;35;5;6,7,1,1,FI,11.417054699495685,0.0,90857.14285714286,False
5;6;130,130;5;6,3,1,1,IT,8.56530643082572,0.0,5245.447347585115,False
5;6;13;14;32;33,12-14;32;33;5;6,6,1,1,ES,16.093863440023377,0.0,9760589.31860037,False
5;6;12;13;88,12-14;5;6;88,5,1,1,IT,8.027281896384167,0.0,3062.403697996918,False
5;6;13;21,12-14;21;5;6,4,1,1,GR,9.258358304257996,0.0,10490.89469517023,False
5;25;32;33,25;32;33;5,4,1,1,IT,13.730738971931745,0.0,918721.1093990754,False
5;32;33;34,32;33;34;5,4,1,1,IE,11.973470899719908,0.0,158492.8229665072,False
5;25;35,25;35;5,3,1,1,GR,10.86771996444934,0.0,52454.47347585115,False
5;6;10,10;5;6,3,1,1,IT,9.102359151773072,0.0,8975.444538526674,False
5;66,5;66,2,1,1,FR,13.612956072333903,0.0,816640.9861325114,False
5;6;12;13;14;15;26,12-14;15;26;5;6,7,1,1,IT,9.007907107151713,0.0,8166.409861325114,False
5;33;34,33;34;5,3,1,1,GR,9.258358304257996,0.0,10490.89469517023,False
5;6;12;13;14;21;130,12-14;130;21;5;6,7,1,1,IT,13.098133113071066,0.0,488029.46593001846,False
5;6;12;13;15,12-14;15;5;6,5,1,1,HU,10.26543336930149,0.0,28721.42252328536,False
