case_i_id,case_j_id,country_i,country_j,article_cohort,log_fine_i,log_fine_j,fine_eur_i,fine_eur_j,delta_log_fine,delta_fine_eur,distance,defendant_class_match,enterprise_size_match,year_diff
Greece_71,Spain_518,GR,ES,5,6.956630648585314,11.627985300361011,1049.089469517023,112193.05673158342,4.671354651775697,111143.96726206639,1.279695238020113,False,False,1
Germany_30,Spain_508,DE,ES,5,17.610845381557652,8.937041760134145,44493130.26190476,7607.655502392345,8.673803621423508,44485522.60640237,1.1684294779584423,True,False,1
Germany_31,Spain_576,DE,ES,5,8.56530643082572,6.196412745793978,5245.447347585115,489.9845916795068,2.3688936850317415,4755.462755905608,1.217226100366674,False,True,1
Germany_40,Spain_455,DE,ES,5,12.659463547061613,10.35690704979426,314726.8408551069,31472.68408551069,2.302556497267352,283254.1567695962,0.0,True,True,0
Latvia_9,Spain_412,LV,ES,5,14.11288377974821,7.728604393843048,1346316.680779001,2271.428571428572,6.384279385905161,1344045.2522075723,1.5941882248387207,True,False,2
Italy_4,Spain_434,IT,ES,5,10.54637452362832,8.23925397898068,38038.27751196172,3785.714285714286,2.30712054464764,34252.56322624744,0.8151453905080451,False,False,1
Italy_32,Spain_520,IT,ES,5,9.443041909388214,11.1293762957599,12619.047619047618,68142.85714285714,1.686334386371687,55523.80952380953,0.0,True,True,0
Italy_55,Spain_484,IT,ES,5,10.10243977075494,7.512677890880714,24401.47329650092,1830.1104972375688,2.5897618798742252,22571.362799263352,0.0,True,True,0
Italy_168,Spain_464,IT,ES,5,10.6609461463504,9.443041909388214,42655.97783056215,12619.047619047618,1.2179042369621857,30036.930211514533,2.121740758976322,True,False,3
Italy_184,Spain_436,IT,ES,5,9.258358304257996,11.057189631892198,10490.89469517023,63397.12918660288,1.7988313276342023,52906.234491432646,2.504618295604814,True,True,4
Italy_260,Spain_450,IT,ES,5,9.231026170598632,9.443041909388214,10208.012326656391,12619.047619047618,0.21201573878958158,2411.035292391227,2.504618295604814,True,True,4
Denmark_1,Spain_492,DK,ES,5,11.949580327108997,8.932269110229447,154751.18764845605,7571.428571428572,3.01731121687955,147179.75907702747,1.8784637217036106,True,True,3
Denmark_141,Spain_545,DK,ES,5,14.225468061407009,11.388884136990889,1506752.7519051654,88333.33333333333,2.8365839244161197,1418419.4185718321,1.5941882248387207,True,False,2
Denmark_144,Spain_527,DK,ES,5,11.922888941501206,8.749973964692726,150675.27519051652,6309.523809523809,3.17291497680848,144365.7513809927,2.9829034100020553,True,False,2
Cyprus_8,Spain_416,DE,ES,5,16.537581889199085,8.749973964692726,15211797.307996834,6309.523809523809,7.787607924506359,15205487.78418731,2.9765858234371927,False,False,3
Spain_482,Latvia_6,ES,LV,58,10.541601370658514,6.956630648585314,37857.142857142855,1049.089469517023,3.5849707220731997,36808.053387625834,2.567604446078399,True,False,3
Latvia_6,Spain_482,LV,ES,58,6.956630648585314,10.541601370658514,1049.089469517023,37857.142857142855,3.5849707220731997,36808.053387625834,2.567604446078399,True,False,3
Spain_421,Italy_195,ES,IT,5;12,10.136149469661436,9.951457827847598,25238.09523809524,20981.78939034046,0.18469164181383846,4256.305847754782,2.201398156962233,False,False,3
Italy_195,Spain_421,IT,ES,5;12,9.951457827847598,10.136149469661436,20981.78939034046,25238.09523809524,0.18469164181383846,4256.305847754782,2.201398156962233,False,False,3
Greece_19,Italy_72,GR,IT,5;12;13,7.621979992100716,9.325480422302588,2041.6024653312784,11219.305673158342,1.7035004302018724,9177.703207827064,1.224744871316589,True,True,2
France_18,Greece_19,FR,GR,5;12;13,13.824990292484364,7.621979992100716,1009523.8095238096,2041.6024653312784,6.203010300383648,1007482.2070584783,3.240370348943243,True,False,4
Italy_72,France_18,IT,FR,5;12;13,9.325480422302588,13.824990292484364,11219.305673158342,1009523.8095238096,4.499509870181775,998304.5038506512,2.4494897425508224,True,False,2
Spain_432,Italy_69,ES,IT,5;13,7.838692295454701,7.71639894286531,2535.885167464115,2243.8611346316684,0.12229335258939056,292.02403283244666,2.661710363952513,False,False,3
Spain_507,Italy_101,ES,IT,5;13,8.121715552663925,7.71639894286531,3365.7917019475026,2243.8611346316684,0.40531660979861517,1121.9305673158342,2.373464415761831,True,True,0
Spain_566,Italy_160,ES,IT,5;13,11.34030619894752,9.663791641304954,84144.79254868756,15736.342042755345,1.676514557642566,68408.45050593221,0.6722139969483377,True,True,1
Italy_313,Greece_91,IT,GR,5;13,9.952325334619427,8.537976937910123,21000.0,5104.006163328197,1.414348396709304,15895.993836671803,1.0983332569290978,False,False,1
Hungary_12,Greece_114,HU,GR,5;13,7.831418765185705,10.018583039803788,2517.5,22438.611346316684,2.187164274618083,19921.111346316684,1.3444279938966754,True,True,2
Greece_91,Italy_313,GR,IT,5;13,8.537976937910123,9.952325334619427,5104.006163328197,21000.0,1.414348396709304,15895.993836671803,1.0983332569290978,False,False,1
Greece_114,Hungary_12,GR,HU,5;13,10.018583039803788,7.831418765185705,22438.611346316684,2517.5,2.187164274618083,19921.111346316684,1.3444279938966754,True,True,2
Italy_69,Spain_566,IT,ES,5;13,7.71639894286531,11.34030619894752,2243.8611346316684,84144.79254868756,3.6239072560822096,81900.9314140559,1.737198072279865,False,True,0
Italy_101,Spain_507,IT,ES,5;13,7.71639894286531,8.121715552663925,2243.8611346316684,3365.7917019475026,0.40531660979861517,1121.9305673158342,2.373464415761831,True,True,0
Italy_148,Spain_432,IT,ES,5;13,8.05460786910179,7.838692295454701,3147.268408551069,2535.885167464115,0.2159155736470897,611.3832410869541,5.596915644062833,False,False,4
Greece_77,Denmark_3,DE,DK,5;15,9.951457827847598,8.858673565372163,20981.78939034046,7034.144893111639,1.0927842624754351,13947.64449722882,0.0,True,True,0
Denmark_3,Greece_77,DK,DE,5;15,8.858673565372163,9.951457827847598,7034.144893111639,20981.78939034046,1.0927842624754351,13947.64449722882,0.0,True,True,0
Ireland_42,Cyprus_30,IE,CY,5;24,16.76377487667408,9.210440366976515,19072819.64436918,10000.0,7.5533345096975655,19062819.64436918,3.4641016145988943,False,False,3
Cyprus_30,Ireland_42,CY,IE,5;24,9.210440366976515,16.76377487667408,10000.0,19072819.64436918,7.5533345096975655,19062819.64436918,3.4641016145988943,False,False,3
Iceland_81,Italy_143,IS,IT,5;25;32,11.342703926981873,8.56530643082572,84346.79334916864,5245.447347585115,2.777397496156153,79101.34600158353,2.1213203431096423,False,True,0
Italy_104,Iceland_81,IT,IS,5;25;32,9.730915821925574,11.342703926981873,16828.958509737513,84346.79334916864,1.6117881050562985,67517.83483943113,2.121320343109643,True,True,1
Spain_441,Hungary_18,ES,HU,5;32,11.27131417632703,12.300883395234443,78535.13971210839,219889.152810768,1.0295692189074135,141354.0130986596,1.1020725224284884,True,False,1
Spain_444,Italy_167,ES,IT,5;32,8.23925397898068,12.436320790084183,3785.714285714286,251781.47268408551,4.197066811103504,247995.75839837122,1.9822343731033263,True,False,3
Spain_461,Denmark_146,ES,DK,5;32,8.932269110229447,11.496671485151234,7571.428571428572,98386.74033149172,2.5644023749217872,90815.31176006315,0.5825256716682585,True,True,1
Spain_474,France_32,ES,FR,5;32,8.205551975809472,13.098133113071066,3660.2209944751385,488029.46593001846,4.892581137261594,484369.24493554333,0.8986451051805389,False,False,0
Spain_495,Greece_26,ES,GR,5;32,11.27131417632703,11.778105029086966,78535.13971210839,130365.50462249613,0.5067908527599361,51830.36491038774,1.1650513433365173,True,True,2
Spain_523,Italy_215,ES,IT,5;32,10.894025781122972,14.865718166166888,53852.66723116004,2858243.45146379,3.971692385043916,2804390.78423263,1.1650513433365173,True,True,2
Spain_561,France_14,ES,FR,5;32,8.23925397898068,13.1366173718077,3785.714285714286,507177.033492823,4.897363392827021,503391.31920710875,1.1020725224284882,True,False,1
Spain_575,Greece_23,ES,GR,5;32,10.93569411653303,8.006700845440367,56144.06779661016,3000.0,2.928993271092663,53144.06779661016,1.1020725224284882,True,False,1
Romania_5,Hungary_32,RO,HU,5;32,6.404540391283338,9.061541799020478,603.5838627992634,8616.426756985607,2.65700140773714,8012.842894186344,1.0709337903052165,False,False,1
Ireland_17,Italy_208,IE,IT,5;32,10.069235568144856,9.84610260752086,23604.51306413301,18883.610451306413,0.223132960623996,4720.902612826598,0.0,True,True,0
Iceland_3,Cyprus_28,IS,CY,5;32,9.319754090867976,10.762361566987884,11155.238095238095,47209.02612826604,1.4426074761199086,36053.788033027944,1.7475770150047758,True,True,3
Iceland_42,Spain_474,IS,ES,5;32,10.246534615306503,8.205551975809472,28183.701657458565,3660.2209944751385,2.040982639497031,24523.480662983427,1.8141377814303206,True,True,0
Hungary_18,Spain_523,HU,ES,5;32,12.300883395234443,10.894025781122972,219889.152810768,53852.66723116004,1.4068576141114715,166036.48557960795,0.5825256716682585,True,True,1
Hungary_32,Romania_5,HU,RO,5;32,9.061541799020478,6.404540391283338,8616.426756985607,603.5838627992634,2.65700140773714,8012.842894186344,1.0709337903052165,False,False,1
Greece_23,Spain_575,GR,ES,5;32,8.006700845440367,10.93569411653303,3000.0,56144.06779661016,2.928993271092663,53144.06779661016,1.1020725224284882,True,False,1
Greece_26,Spain_441,GR,ES,5;32,11.778105029086966,11.27131417632703,130365.50462249613,78535.13971210839,0.5067908527599361,51830.36491038774,1.1650513433365173,True,True,2
Greece_28,Italy_234,GR,IT,5;32,14.933089701240451,10.147258129144577,3057442.604006163,25520.03081664098,4.785831572095875,3031922.5731895217,0.0,True,True,0
France_14,Spain_561,FR,ES,5;32,13.1366173718077,8.23925397898068,507177.033492823,3785.714285714286,4.897363392827021,503391.31920710875,1.1020725224284882,True,False,1
France_32,Italy_37,FR,IT,5;32,13.098133113071066,9.18621050617067,488029.46593001846,9760.589318600369,3.9119226069003954,478268.8766114181,0.0,True,True,0
France_40,Ireland_17,FR,IE,5;32,12.544270684344006,10.069235568144856,280482.6418289585,23604.51306413301,2.47503511619915,256878.12876482552,0.5825256716682585,True,True,1
Italy_37,France_40,IT,FR,5;32,9.18621050617067,12.544270684344006,9760.589318600369,280482.6418289585,3.3580601781733357,270722.05251035816,0.5825256716682586,True,True,1
Italy_167,Spain_444,IT,ES,5;32,12.436320790084183,8.23925397898068,251781.47268408551,3785.714285714286,4.197066811103504,247995.75839837122,1.9822343731033263,True,False,3
Italy_208,Greece_28,IT,GR,5;32,9.84610260752086,14.933089701240451,18883.610451306413,3057442.604006163,5.086987093719591,3038558.9935548566,0.5825256716682586,True,True,1
Italy_215,Finland_92,IT,FI,5;32,14.865718166166888,13.910821646859096,2858243.45146379,1100000.0,0.9548965193077912,1758243.4514637901,1.4220150736742676,False,False,1
